,cohort,type_3,cohort_tot,cohort_grad,gradrate,online
99,2010.0,6.0,31272.0,9120.0,0.29163468,
100,1991.0,8.0,1466.0,488.0,0.3328786,
101,1992.0,8.0,1461.0,494.0,0.33812457,
102,1993.0,8.0,1331.0,447.0,0.33583772,
103,1994.0,8.0,1472.0,542.0,0.36820653,
104,1995.0,8.0,1441.0,552.0,0.3830673,
105,1996.0,8.0,1382.0,527.0,0.3813314,
106,1997.0,8.0,1536.0,618.0,0.40234375,
107,1998.0,8.0,1433.0,645.0,0.45010468,
108,1999.0,8.0,1359.0,577.0,0.4245769,
109,2000.0,8.0,1327.0,543.0,0.40919366,
110,2001.0,8.0,1296.0,472.0,0.36419752,
111,2002.0,8.0,1331.0,537.0,0.40345606,
112,2003.0,8.0,1489.0,640.0,0.42981866,
113,2004.0,8.0,1388.0,516.0,0.37175792,
114,2005.0,8.0,1486.0,503.0,0.3384926,
115,2006.0,8.0,1513.0,521.0,0.34434897,
116,2007.0,8.0,1425.0,527.0,0.36982456,
117,2008.0,8.0,1466.0,531.0,0.3622101,
118,2009.0,8.0,1509.0,537.0,0.35586482,
119,2010.0,8.0,1662.0,537.0,0.32310468,
120,1991.0,9.0,2349.0,804.0,0.3422733,
121,1992.0,9.0,2738.0,1022.0,0.37326515,
122,1993.0,9.0,3633.0,1361.0,0.3746215,
123,1994.0,9.0,3449.0,1264.0,0.36648303,
124,1995.0,9.0,3524.0,1461.0,0.4145857,
125,1996.0,9.0,3894.0,1736.0,0.44581407,
126,1997.0,9.0,3780.0,1650.0,0.43650794,
127,1998.0,9.0,3654.0,1609.0,0.44033936,
128,1999.0,9.0,3848.0,1552.0,0.4033264,
129,2000.0,9.0,3921.0,1754.0,0.44733486,
130,2001.0,9.0,4155.0,1798.0,0.43273166,
131,2002.0,9.0,4444.0,1845.0,0.41516653,
132,2003.0,9.0,5090.0,2057.0,0.40412575,
133,2004.0,9.0,5222.0,2236.0,0.42818844,
134,2005.0,9.0,4737.0,2087.0,0.4405742,
135,2006.0,9.0,5428.0,2230.0,0.41083273,
136,2007.0,9.0,6763.0,2859.0,0.42274138,
137,2008.0,9.0,8707.0,3277.0,0.37636384,
138,2009.0,9.0,11076.0,3743.0,0.3379379,
139,2010.0,9.0,16021.0,5214.0,0.32544786,
140,1991.0,10.0,3268.0,1048.0,0.32068545,
141,1992.0,10.0,4645.0,1688.0,0.3634015,
142,1993.0,10.0,3271.0,1118.0,0.3417915,
143,1994.0,10.0,2998.0,1215.0,0.4052702,
144,1995.0,10.0,2670.0,649.0,0.24307115,
145,1996.0,10.0,4206.0,1185.0,0.28174037,
146,1997.0,10.0,3891.0,1113.0,0.28604472,
147,1998.0,10.0,5575.0,1591.0,0.28538117,
148,1999.0,10.0,5121.0,1488.0,0.29056826,
149,2000.0,10.0,9545.0,3175.0,0.3326349,
150,2001.0,10.0,10814.0,1660.0,0.15350471,
151,2002.0,10.0,13822.0,1746.0,0.12632036,
152,2003.0,10.0,21035.0,2692.0,0.12797718,
